ga:pagePath,ga:source,ga:bounces,ga:sessions,ga:goalCompletionsAll,bounceRate,goalConversionRateAll,fromAvrg%
www.corporatedirect.com/business-credit/build-business-credit-fast/,(direct),33,37,0,89.19,0.0,6.18
www.corporatedirect.com/business-credit/build-business-credit-fast/,FYOB-Earlybird,1,1,0,100.0,0.0,19.05
www.corporatedirect.com/business-credit/build-business-credit-fast/,adguard.com,1,1,0,100.0,0.0,19.05
www.corporatedirect.com/business-credit/build-business-credit-fast/,aol,1,1,0,100.0,0.0,19.05
www.corporatedirect.com/business-credit/build-business-credit-fast/,bing,8,13,0,61.54,0.0,-26.74
www.corporatedirect.com/business-credit/build-business-credit-fast/,google,225,277,0,81.23,0.0,-3.3
www.corporatedirect.com/business-credit/build-business-credit-fast/,search.pch.com,2,2,0,100.0,0.0,19.05
www.corporatedirect.com/business-credit/build-business-credit-fast/,simpli.com,1,1,0,100.0,0.0,19.05
www.corporatedirect.com/business-credit/build-business-credit-fast/,t.co,1,1,0,100.0,0.0,19.05
www.corporatedirect.com/business-credit/build-business-credit-fast/,yahoo,3,4,0,75.0,0.0,-10.71
www.corporatedirect.com/business-credit/credit-scams-protecting-cpn-scams/,(direct),22,24,0,91.67,0.0,9.13
www.corporatedirect.com/business-credit/credit-scams-protecting-cpn-scams/,facebook.com,5,5,0,100.0,0.0,19.05
www.corporatedirect.com/business-credit/credit-scams-protecting-cpn-scams/,google,77,80,0,96.25,0.0,14.58
www.corporatedirect.com/business-credit/credit-scams-protecting-cpn-scams/,l.facebook.com,3,3,0,100.0,0.0,19.05
www.corporatedirect.com/business-credit/credit-scams-protecting-cpn-scams/,lm.facebook.com,2,2,0,100.0,0.0,19.05
www.corporatedirect.com/business-credit/credit-scams-protecting-cpn-scams/,m.facebook.com,96,100,0,96.0,0.0,14.29
www.corporatedirect.com/business-credit/credit-scams-protecting-cpn-scams/,yahoo,2,2,0,100.0,0.0,19.05
www.corporatedirect.com/foreign-investors/,(direct),32,38,0,84.21,0.0,0.25
www.corporatedirect.com/foreign-investors/,baidu,1,1,0,100.0,0.0,19.05
www.corporatedirect.com/foreign-investors/,bing,8,9,0,88.89,0.0,5.82
www.corporatedirect.com/foreign-investors/,duckduckgo.com,1,2,0,50.0,0.0,-40.48
www.corporatedirect.com/foreign-investors/,google,458,511,0,89.63,0.0,6.7
www.corporatedirect.com/foreign-investors/,whypoland.info,1,1,0,100.0,0.0,19.05
www.corporatedirect.com/foreign-investors/,yahoo,7,8,0,87.5,0.0,4.17
www.corporatedirect.com/start-a-business/entity-types/c-corporation/,(direct),60,71,0,84.51,0.0,0.61
www.corporatedirect.com/start-a-business/entity-types/c-corporation/,app.asana.com,1,1,0,100.0,0.0,19.05
www.corporatedirect.com/start-a-business/entity-types/c-corporation/,ask,2,2,0,100.0,0.0,19.05
www.corporatedirect.com/start-a-business/entity-types/c-corporation/,bing,3,3,0,100.0,0.0,19.05
www.corporatedirect.com/start-a-business/entity-types/c-corporation/,email,1,1,0,100.0,0.0,19.05
www.corporatedirect.com/start-a-business/entity-types/c-corporation/,email14.godaddy.com,1,1,0,100.0,0.0,19.05
www.corporatedirect.com/start-a-business/entity-types/c-corporation/,google,1309,1458,0,89.78,0.0,6.88
www.corporatedirect.com/start-a-business/entity-types/c-corporation/,search.mysearch.com,1,1,0,100.0,0.0,19.05
www.corporatedirect.com/start-a-business/entity-types/c-corporation/,search.tb.ask.com,1,1,0,100.0,0.0,19.05
www.corporatedirect.com/start-a-business/entity-types/c-corporation/,sogou,1,1,0,100.0,0.0,19.05
www.corporatedirect.com/start-a-business/entity-types/c-corporation/,www1.looksmart.com,1,1,0,100.0,0.0,19.05
www.corporatedirect.com/start-a-business/entity-types/c-corporation/,yahoo,8,9,0,88.89,0.0,5.82
www.corporatedirect.com/start-a-business/entity-types/s-corporation/,(direct),35,44,0,79.55,0.0,-5.3
www.corporatedirect.com/start-a-business/entity-types/s-corporation/,ask,6,6,0,100.0,0.0,19.05
www.corporatedirect.com/start-a-business/entity-types/s-corporation/,google,1330,1486,0,89.5,0.0,6.55
www.corporatedirect.com/start-a-business/entity-types/s-corporation/,l.facebook.com,1,1,0,100.0,0.0,19.05
www.corporatedirect.com/start-a-business/entity-types/s-corporation/,news-square.com,1,1,0,100.0,0.0,19.05
www.corporatedirect.com/start-a-business/entity-types/s-corporation/,search.gmx.net,1,1,0,100.0,0.0,19.05
www.corporatedirect.com/start-a-business/entity-types/s-corporation/,yahoo,14,14,0,100.0,0.0,19.05
