ga:pagePath,ga:source,ga:pageviews_prev,ga:pageviews_curr,Delta
corporatedirect.com/,motherboard.vice.com,488,0,-488
corporatedirect.com/,petitions.whitehouse.gov,22,0,-22
www.corporatedirect.com/asset-protection/,(direct),101,59,-42
www.corporatedirect.com/asset-protection/,CD-Newsletter,25,72,47
www.corporatedirect.com/asset-protection/,Incorporation-Packet,0,1,1
www.corporatedirect.com/asset-protection/,bing,3,7,4
www.corporatedirect.com/asset-protection/,business.facebook.com,1,0,-1
www.corporatedirect.com/asset-protection/,com.google.android.googlequicksearchbox,1,0,-1
www.corporatedirect.com/asset-protection/,ct220.infusionsoft.com,1,0,-1
www.corporatedirect.com/asset-protection/,duckduckgo.com,2,2,0
www.corporatedirect.com/asset-protection/,email-signature,1,0,-1
www.corporatedirect.com/asset-protection/,facebook.com,19,7,-12
www.corporatedirect.com/asset-protection/,google,59,43,-16
www.corporatedirect.com/asset-protection/,l.facebook.com,3,0,-3
www.corporatedirect.com/asset-protection/,lm.facebook.com,4,1,-3
www.corporatedirect.com/asset-protection/,m.facebook.com,99,38,-61
www.corporatedirect.com/asset-protection/,richdadadvisors.com,0,2,2
www.corporatedirect.com/asset-protection/,semrush.com,1,0,-1
www.corporatedirect.com/asset-protection/,t.co,1,5,4
www.corporatedirect.com/asset-protection/,twitter.com,0,1,1
www.corporatedirect.com/asset-protection/,yahoo,2,0,-2
www.corporatedirect.com/asset-protection/,youtube.com,1,0,-1
www.corporatedirect.com/blog/swart-enterprises-inc-v-california-franchise-tax-board/,(direct),10,13,3
www.corporatedirect.com/blog/swart-enterprises-inc-v-california-franchise-tax-board/,CD-Newsletter,149,6,-143
www.corporatedirect.com/blog/swart-enterprises-inc-v-california-franchise-tax-board/,Incorporation-Packet,0,1,1
www.corporatedirect.com/blog/swart-enterprises-inc-v-california-franchise-tax-board/,amazon.com,0,2,2
www.corporatedirect.com/blog/swart-enterprises-inc-v-california-franchise-tax-board/,ask,0,1,1
www.corporatedirect.com/blog/swart-enterprises-inc-v-california-franchise-tax-board/,bing,1,3,2
www.corporatedirect.com/blog/swart-enterprises-inc-v-california-franchise-tax-board/,com.google.android.googlequicksearchbox,4,0,-4
www.corporatedirect.com/blog/swart-enterprises-inc-v-california-franchise-tax-board/,ct220.infusionsoft.com,1,2,1
www.corporatedirect.com/blog/swart-enterprises-inc-v-california-franchise-tax-board/,facebook.com,0,8,8
www.corporatedirect.com/blog/swart-enterprises-inc-v-california-franchise-tax-board/,google,10,17,7
www.corporatedirect.com/blog/swart-enterprises-inc-v-california-franchise-tax-board/,l.facebook.com,0,3,3
www.corporatedirect.com/blog/swart-enterprises-inc-v-california-franchise-tax-board/,linkedin.com,8,3,-5
www.corporatedirect.com/blog/swart-enterprises-inc-v-california-franchise-tax-board/,m.facebook.com,0,19,19
www.corporatedirect.com/blog/swart-enterprises-inc-v-california-franchise-tax-board/,satprnews.com,1,0,-1
www.corporatedirect.com/blog/swart-enterprises-inc-v-california-franchise-tax-board/,t.co,0,14,14
www.corporatedirect.com/blog/swart-enterprises-inc-v-california-franchise-tax-board/,youtube.com,1,0,-1
www.corporatedirect.com/business-credit/,(direct),104,98,-6
www.corporatedirect.com/business-credit/,CD-Newsletter,15,6,-9
www.corporatedirect.com/business-credit/,bing,10,9,-1
www.corporatedirect.com/business-credit/,com.google.android.googlequicksearchbox,4,0,-4
www.corporatedirect.com/business-credit/,ct220.infusionsoft.com,2,8,6
www.corporatedirect.com/business-credit/,gerridetweiler.com,2,5,3
www.corporatedirect.com/business-credit/,google,138,93,-45
www.corporatedirect.com/business-credit/,incorporation-pdf,4,6,2
www.corporatedirect.com/business-credit/,m.facebook.com,2,0,-2
www.corporatedirect.com/business-credit/,member.impactradius.com,3,0,-3
www.corporatedirect.com/business-credit/,nevada-registered-agents.com,2,0,-2
www.corporatedirect.com/business-credit/,t.co,2,0,-2
www.corporatedirect.com/business-credit/,time.com,3,0,-3
www.corporatedirect.com/business-credit/,yahoo,6,2,-4
www.corporatedirect.com/business-credit/,youtube.com,2,0,-2
www.corporatedirect.com/corporate-clean-up/,(direct),40,26,-14
www.corporatedirect.com/corporate-clean-up/,CD-Newsletter,52,7,-45
www.corporatedirect.com/corporate-clean-up/,Incorporation-Packet,4,2,-2
www.corporatedirect.com/corporate-clean-up/,bing,3,3,0
www.corporatedirect.com/corporate-clean-up/,google,38,39,1
www.corporatedirect.com/corporate-clean-up/,lm.facebook.com,0,3,3
www.corporatedirect.com/corporate-clean-up/,t.co,0,3,3
www.corporatedirect.com/corporate-clean-up/,yahoo,3,0,-3
www.corporatedirect.com/corporate-clean-up/,youtube.com,2,0,-2
